Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
10,10061,"Pork, fresh, loin, tenderloin, separable lean only","Baked or Roasted, unspecified",77,12,3,74,84,-20.7,0.5,2009
10,10063,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat ",Braised,73,12,4.1,62,84,-24.9,-0.9,2011
10,10186,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat ",Pan-fried,77,12,5.94,60,85,-22.2,-0.9,2011
10,10959,"Pork, fresh, shoulder breast, boneless, separable lean and fat",Broiled or Grilled,80,1,n/a,n/a,n/a,-20.88,0.2,2009
10,10075,"Pork, fresh, shoulder, arm picnic, separable lean and fat ",Braised,74,12,2.72,70,78,-19,-0.8,2011
10,10960,"Pork, fresh, shoulder, petite tender, boneless, separable lean and fat",Broiled or Grilled,82,1,n/a,n/a,n/a,-18.16,-0.45,2009
10,10940,"Pork, fresh, spareribs, separable lean and fat","Baked or Roasted, unspecified",76,12,3.208,68,79,-22.92,0.19,2009
10,10099,"Pork, fresh, variety meats and by-products, chitterlings","Poached, Simmered or Stewed",39,1,n/a,n/a,n/a,-49.88,-8.76,2009
10,10173,"Pork, fresh, variety meats and by-products, feet","Poached, Simmered or Stewed",36,1,n/a,n/a,n/a,-42.58,-6.9,2003
10,10863,"Pork, fresh, variety meats and by-products, stomach","Poached, Simmered or Stewed",69,1,n/a,n/a,n/a,-24.76,-5.1,2003
10,10974,"Pork, ground, crumbles, high fat (>27%)",Pan-browned,66,4,10.572,56,81,-27.88,-6.5,2009
10,10976,"Pork, ground, crumbles, low fat (<10%)",Pan-browned,68,4,5.495,61,74,-31.73,-0.2,2009
10,10975,"Pork, ground, crumbles, medium fat (10%-27%)",Pan-browned,67,4,5.694,62,75,-30.33,-1.8,2009
10,10977,"Pork, ground, patty, high fat (>27%)",Broiled or Grilled,69,4,3.088,65,72,-25.28,-6.6,2009
10,10979,"Pork, ground, patty, low fat (<10%)",Broiled or Grilled,68,4,2.504,64,70,-32.66,0.2,2009
10,10978,"Pork, ground, patty, medium fat (10%-27%)",Broiled or Grilled,68,4,1.571,66,69,-26.69,-1.9,2009
7,7958,"Turkey sausage, fresh",Broiled or Grilled,77,1,n/a,n/a,n/a,-20.12,-0.01,2002
5,5745,"Turkey, from whole, enhanced, back, meat and skin",Roasted,76,1,n/a,n/a,n/a,-3.63,1.65,2013
5,5701,"Turkey, from whole, enhanced, dark meat, meat and skin",Roasted,74,1,n/a,n/a,n/a,-11.93,-1.35,2013
5,5184,"Turkey, from whole, non-enhanced, dark meat, meat and skin",Roasted,69,1,n/a,n/a,n/a,-23.07,-0.92,2013
5,5172,"Turkey, all, giblets","Poached, Simmered or Stewed",64,1,n/a,62,66,n/a,n/a,1975
5,5174,"Turkey, gizzard, all classes","Poached, Simmered or Stewed",85,1,n/a,n/a,n/a,-14.28,-1.29,2003
5,5176,"Turkey, heart, all classes","Poached, Simmered or Stewed",76,1,n/a,n/a,n/a,-21.73,-1.25,2003
5,5178,"Turkey, liver, all classes","Poached, Simmered or Stewed",83,1,n/a,n/a,n/a,-15.19,0.63,2003
5,5731,"Turkey, retail parts, enhanced, breast, meat and skin",Roasted,68,1,n/a,n/a,n/a,-16.96,-1.93,2013
5,5733,"Turkey, retail parts, non-enhanced, breast, meat and skin",Roasted,72,1,n/a,n/a,n/a,-13.77,-2.28,2013
5,5737,"Turkey, retail parts, non-enhanced, drumstick, meat and skin",Roasted,72,1,n/a,n/a,n/a,-12.97,0.47,2013
5,5743,"Turkey, retail parts, non-enhanced, thigh, meat and skin",Roasted,83,1,n/a,n/a,n/a,-10.86,-0.67,2013
5,5735,"Turkey, retail parts, non-enhanced, wing, meat and skin",Roasted,71,1,n/a,n/a,n/a,-9.57,-1.49,2013
5,5707,"Turkey, whole, enhanced, meat and skin",Roasted,71,1,n/a,n/a,n/a,-11.07,-1.55,2013
5,5166,"Turkey, whole, non-enhanced, meat and skin",Roasted,71,1,n/a,n/a,n/a,-11.29,0.18,2013
17,17425,"Veal, leg, top round, cap off, cutlet, boneless",Grilled,74,6,5.523,66.51,82.73,-21.38,0.02,2014
17,17438,"Veal, shoulder, blade chop, separable lean and fat",Grilled,77,1,n/a,n/a,n/a,-16.02,0.21,2014
17,17203,"Veal, variety meats and by-products, liver",Braised,69,1,n/a,n/a,n/a,-29.61,-0.54,2003
17,17204,"Veal, variety meats and by-products, liver",Pan-fried or Sauteed ,68,2,n/a,67.5,67.64,-30.44,-0.46,2003
